email_subject,email_open_user_count,sent_user_count,open_rate
Avengers: Infinity War,14521,86732,16.74
You are the BEST! And so is everything you create.,4700,28097,16.73
The Ultimate 👚 Hitlist!,71760,429056,16.73
Everything trending right now.,56203,335976,16.73
Exclusively Just For You! Denims By Levis!,96804,578917,16.72
3 more days left! Let's do this!,439,2627,16.71
Our comfiest T-shirts yet,241173,1443110,16.71
3 ways to our heart ❤,483,2892,16.7
"Hi{user_first_name}, 6 Types of T-shirts Every man needs | Free Shipping",156565,937403,16.7
"Check or Stripe , Choose your shirt under 599!",151184,906020,16.69
Are you SHARING enough?,1354,8113,16.69
Going Dotty For Polka | Shop Trend,57260,343005,16.69
Bestselling this month 🍬 shop now | free shipping,57213,342877,16.69
Do you love to share what you love?,995,5961,16.69
Meet Suman Rao: The new Femina Miss India 2019!!!,10363,62141,16.68
Flat 399: Summer tees for a cool vibe,166290,997482,16.67
T-shirts to keep you gym-ready,162489,975214,16.66
Solid Tees for hot summer days! Upto 60% off,9398,56448,16.65
Casual shirts you can wear to work,185762,1115416,16.65
"Because he is your HERO, your DAD",11726,70573,16.62
"{user_first_name}, 200+ bestselling sarees for you",216016,1300586,16.61
You gave us your time...Thank You!!!!,4046,24378,16.6
"{user_first_name}, All these bestsellers at best ever prices",181678,1094655,16.6
Gorgeous kurtas at flat 399! Check ‘em out!,75048,452052,16.6
What do you wish the world to see?,10212,61586,16.58
"Hi {user_first_name}, workout with ease!",117035,706291,16.57
What do you choose to share today?,807,4879,16.54
6 Types of T-shirts Every man needs,354177,2140931,16.54
Kurtas for day and night! All under 499,276179,1670468,16.53
#TrendingRightNow - High-Low Kurtas | Free Shipping,205437,1242848,16.53
"{user_first_name}, Hottest selling kurtas to steal!",172495,1044280,16.52
Sharing a look today will keep your worries away!!,912,5519,16.52
"{user_first_name}, Trending suits at minimum 50% off",165800,1003524,16.52
lucky are those who share:),370,2241,16.51
"{user_first_name}, 500+ mandarin shirts for summer! Shop Now",203696,1235241,16.49
Handpicked LBDs | Shop Now,47340,287070,16.49
"{user_first_name}, Min. 800 Off! Don't Miss",53659,325557,16.48
The classic Polos upto 60% off,8957,54349,16.48
Because a new month comes with a fresh start,615,3735,16.47
